superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000633,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000635,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant THPX255
http://purl.obolibrary.org/BIO/BIO_0000699,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000710,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-High Profile Breast Implant 354-4550
http://purl.obolibrary.org/BIO/BIO_0000701,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001747,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant 354-6501
http://purl.obolibrary.org/BIO/BIO_0000662,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001056,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Ultra-high Profile Breast Implant 350-5160BC
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000637,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX560
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001970,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7375BC
http://purl.obolibrary.org/BIO/BIO_0000644,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001987,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate-plus Profile xtra Breast Implant SMPX160
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001971,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7325BC
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001340,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX545
http://purl.obolibrary.org/BIO/BIO_0000701,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001324,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant 354-7001
